Account Number, Name, Address, City, State, ZIP, Geocode State, Geocode County, Geocode Tract, Geocode MSA
"158","FARMERS' AND TRADERS' STATE BANK","203 W COMANCHE AVE","SHABBONA","IL","60550","17","037","0018.00","20994"
"159","BANK OF ILLINOIS","200 W COLLEGE AVE","NORMAL","IL","61761","17","113","0001.02","14010"
"160","NAPOLEON BANK","295 W 2ND ST","NAPOLEON","MO","64074","29","107","0901.00","28140"
"161","RURAL AMERICAN BANK - LUCK","200 S MAIN ST","LUCK","WI","54853","55","095","9602.00",""
"162","COASTAL COMMUNITY BANK","12141 PANAMA CITY BEACH PKWY","PANAMA CITY","FL","32407","12","005","0027.04","37460"
"163","FARMERS DEPOSIT BANK","5230 S MAIN ST","EMINENCE","KY","40019","21","103","0903.02","31140"
"164","FIRST STATE BANK OF MURDOCK","520 MAIN AVE","MURDOCK","MN","56271","27","151","9601.00",""
"165","FIRST STATE BANK","169 S FRANKSTON HWY","FRANKSTON","TX","75763","48","001","9501.00",""
"166","NORTHERN NECK STATE BANK","5839 RICHMOND RD","WARSAW","VA","22572","51","159","0401.00",""
"167","BANK OF HIAWASSEE","20 MAIN STREET","HIAWASSEE","GA","30546","13","281","9603.00",""
"168","FIRST STATE BANK AND TRUST COMPANY OF VA","3650 INNER PERIMETER RD","VALDOSTA","GA","31602","13","185","0106.01","46660"
"169","WESTERN SPRINGS NATIONAL BANK AND TRUST","4456 WOLF RD","WESTERN SPRGS","IL","60558","17","031","8198.01","16974"
"170","BANK IOWA","506 SUMNER AVE","HUMBOLDT","IA","50548","19","091","9703.00",""
"171","THE KEVIL BANK","952 KENTUCKY AVE","KEVIL","KY","42053","21","007","9501.00",""
"172","FLAGSHIP BANK WINSTED","110 1ST ST N","WINSTED","MN","55395","27","085","9501.00",""
"173","SECURITY STATE BANK OF HOWARD LAKE","900 6TH ST","HOWARD LAKE","MN","55349","27","171","1012.00","33460"
"174","FIRST STATE BANK OF ALEXANDRIA","3313 HIGHWAY 29 S","ALEXANDRIA","MN","56308","27","041","4507.01",""
"175","THE RIVERBANK","26777 FALLBROOK AVE","WYOMING","MN","55092","27","025","1104.01","33460"
"176","CITIZENS STATE BANK OF CROPSEY","130 MAIN ST","CROPSEY","IL","61731","17","113","0057.00","14010"
"177","FIRST STATE BANK OF DIX","312 N MAIN ST","DIX","IL","62830","17","081","0501.00",""
"178","HYDE PARK BANK AND TRUST COMPANY","1525 E 53RD ST","CHICAGO","IL","60615","17","031","4108.00","16974"
"179","THUNDER BANK","102 N MAIN ST","SYLVAN GROVE","KS","67481","20","105","0861.00",""
"180","STATE BANK OF SLATER","201 W MAPLE ST","SLATER","MO","65349","29","195","0901.00",""
"181","SECURITY BANK AND TRUST COMPANY","1514 MAIN ST","SCOTT CITY","MO","63780","29","201","7801.00",""
"182","BANK OF DWIGHT","132 E MAIN ST","DWIGHT","IL","60420","17","105","9601.00",""
"183","ELKVILLE STATE BANK","110 S 4TH ST","ELKVILLE","IL","62932","17","077","0102.00","16060"
"184","PEOTONE BANK AND TRUST COMPANY","200 W CORNING AVE","PEOTONE","IL","60468","17","197","8839.04","16974"
"185","F&M BANK-IOWA CENTRAL","11 N 1ST AVE","MARSHALLTOWN","IA","50158","19","127","9505.00",""
"186","FIRST SECURITY BANK - LAKE BENTON","107 CENTER ST N","LAKE BENTON","MN","56149","27","081","2010.02",""
"187","RUSHVILLE STATE BANK","201 VALLEY ST","RUSHVILLE","MO","64484","29","021","0029.00","41140"
"188","MANSFIELD STATE BANK","187 E MAIN ST","MANSFIELD","SD","57460","46","013","9519.00",""
"189","EAGLE BANK","121 N 5TH ST","JARRELL","TX","76537","48","491","9999.03","12420"
"190","SOUTHERN BANCORP BANK OF TRUMANN","2522 S PINNACLE HILLS PKWY STE 1","ROGERS","AR","72758","05","007","0213.06","22220"
"191","TIMEWELL STATE BANK","MAIN STREET","TIMEWELL","IL","62375","17","009","9999.03",""
"192","BANK IOWA","1710 3RD AVE E","OSKALOOSA","IA","52577","19","123","9505.00",""
"193","THE HARRISON DEPOSIT BANK AND TRUST COMP","WALNUT AND PIKE STREETS","CYNTHIANA","KY","41031","21","097","9999.03",""
"194","BYRON BANK","2445 84TH ST SW","BYRON CENTER","MI","49315","26","081","0146.02","24340"
"195","SECURITY STATE BANK","11 MAIN STREET NE","DUNSEITH","ND","58329","38","079","9999.03",""
"196","UNION BANK AND TRUST COMPANY","211 N MAIN ST","BOWLING GREEN","VA","22427","51","033","0301.00","40060"
"197","CONSOLIDATED BANK AND TRUST COMPANY","320 N 1ST ST","RICHMOND","VA","23219","51","760","0302.00","40060"
"198","BANK OF MONTICELLO","238 N MAIN ST","MONTICELLO","WI","53570","55","045","9601.00","31540"
"199","HOME NATIONAL BANK","1350 W DOOLIN AVE","BLACKWELL","OK","74631","40","071","9999.03",""
"200","BANK OF WILLITS","145 S MAIN ST","WILLITS","CA","95490","06","045","0107.00",""
"201","FIRST STATE BANK OF RED BUD","115 W MARKET ST","RED BUD","IL","62278","17","157","9508.00",""
"202","THE BANK OF QUAPAW","338 E MAIN ST","PEORIA","OK","74363","40","115","5741.00",""
"203","FRIONA STATE BANK, N.A.","11TH STREET AT CLEVELAND","FRIONA","TX","79035","48","369","9999.03",""
"204","BANK OF TEXAS","1005 CONGRESS AVE STE 100","AUSTIN","TX","78701","48","453","0011.00","12420"
"205","PALMER BANK","620 N WEBSTER ST","TAYLORVILLE","IL","62568","17","021","9583.00",""
"206","STATE BANK OF PRAIRIE DU ROCHER","219 MARKET ST","PRAIRIE DU ROCHER","IL","62277","17","157","9509.00",""
